title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
four kansas essays,"culture, geology, government, politics, value","the time machine : a review of earth history through fifteen million kansas centennials, by p tasch--cultural values in kansas, by do cowgill--a kansas pocket book, by em johnson--how republican is kansas?, by ma harder","['geology', 'political parties']","['natural history', 'cultural property', 'history']",a,"{'geology': 4, 'political parties': 53}"
the world book encyclopedia,"an encyclopedia designed especially to meet the needs of elementary, junior high, and high school students",v 23-24 australasia--v 25-26 british isles,['encyclopedias and dictionaries'],['encyclopedias and dictionaries'],a,{'encyclopedias and dictionaries': 1}
the doubleday children's encyclopedia,presents facts on more than 1300 subjects from aardvark to zoo,v 1 aardvark through denmark -- v 2 desert through leather -- v 3 lebabon through satellite -- v4 satire through zoo,"[""children's encyclopedias and dictionaries""]","[""children's encyclopedias and dictionaries"", ""children's questions and answers""]",a,"{""children's encyclopedias and dictionaries"": 1}"
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, projects, or experiments",v 1-20 a-z -- v 21 index,"[""children's encyclopedias and dictionaries""]","['encyclopedias and dictionaries', 'curiosities and wonders']",a,"{""children's encyclopedias and dictionaries"": 3}"
oxford american children's encyclopedia,presents alphabetically arranged articles in nine volumes covering a wide range of human knowledge,"1 aardvarks-canals -- 2 canary islands-elections -- 3 electricity-gymnastics -- 4 gypsies-materials -- 5 mathematics-population -- 6 porcupines-stock market -- 7 stomachs-zoos -- 8 biography: abraham-zhou enlai -- 9 index, gazetteer, and timeline of world history","[""children's encyclopedias and dictionaries""]",['natural history'],a,"{""children's encyclopedias and dictionaries"": 9}"
heinemann first encyclopedia,"a ten-volume encyclopedia covering animals, plants, countries, transportation, science, ancient civilizations, and world history",v 1 aar-bir -- v 2 bis-cor -- v 3 cos-eur -- v 4 eye-hip -- v 5 hom-leo -- v 6 lib-net -- v 7 new-pra -- v 8 pte-slo -- v 9 slu-tor -- v 10 tou-zim,"[""children's encyclopedias and dictionaries""]","['natural history', 'encyclopedias and dictionaries', 'encyclopedists', 'antiquities']",a,"{""children's encyclopedias and dictionaries"": 6}"
microsoft bookshelf 98 [electronic resource] : reference library,electronic versions of standard reference sources,"american heritage dictionary of the english language, 3rd ed -- microsoft bookshelf internet directory 98 -- encarta 98 desk world atlas -- original roget's thesaurus of english words and phrases -- world almanac and book of facts 1997 -- encarta 98 desk encyclopedia -- columbia dictionary of quotations -- people's chronology -- national five-digit zip code and post office directory -- microsoft bookshelf computer and internet dictionary",['electronic reference sources'],"['encyclopedias and dictionaries', ""children's encyclopedias and dictionaries"", 'natural history']",a,{'electronic reference sources': 74}
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",v 1 a -- v 2 b -- v 3 c -- v 4 d -- v 5 e -- v 6 f -- v 7 g -- v 8 h -- v 9 i -- v 10 jk -- v 11 l -- v 12 m -- v 13 n -- v 14 o -- v 15 p -- v 16 qr -- v 17 s -- v 18 t -- v 19 uv -- v 20 wxyz -- v 21 index -- [22] home and school reading and study guides,"[""children's encyclopedias and dictionaries""]","['natural history', 'curiosities and wonders']",a,"{""children's encyclopedias and dictionaries"": 4}"
the world book student discovery encyclopedia,a general elementary encyclopedia with brief illustrated articles covering an alphabetical array of topics,v 1 a -- v 2 b -- v 3 c -- v 4 def -- v 5 gh -- v 6 ijkl -- v 7 m -- v 8 no -- v 9 pqr -- v 10 s -- v 11 tu -- v 12 vwxyz -- v 13 atlas/index,"[""children's encyclopedias and dictionaries""]","['encyclopedias and dictionaries', ""children's encyclopedias and dictionaries""]",a,"{""children's encyclopedias and dictionaries"": 2}"
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",v 1 a -- v 2 b -- v 3 c -- v 4 d -- v 5 e -- v 6 f -- v 7 g -- v 8 h -- v 9 i -- v 10 jk -- v 11 l -- v 12 m -- v 13 n -- v 14 o -- v 15 p -- v 16 qr -- v 17 s -- v 18 t -- v 19 uv -- v 20 wxyz -- v 21 index,"[""children's encyclopedias and dictionaries""]","['curiosities and wonders', ""children's encyclopedias and dictionaries""]",a,"{""children's encyclopedias and dictionaries"": 2}"
