title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
life of a medieval knight,"discusses feudalism, chivalry, clothing and weaponry, practices of war, the crusades, tournaments and other aspects of the lives of noble soldiers of the middle ages",the coming of the knight -- the outfitting of the knight -- the training of the knight -- campaign and battle -- crusades and knightly orders -- manor and tournament -- the end of chivalry,"['knights and knighthood', 'civilization, medieval', 'chivalry']","['knights and knighthood', 'military history, medieval', 'literature, medieval', 'philosophy, medieval']",c,"{'knights and knighthood': 1, 'civilization, medieval': 17, 'chivalry': 24}"
jurassic doug,"""is roger being haunted--or is it just a ghost story? can doug prove the existence of the fearsome dougasaurus? who is sending doug mystery notes? the answers to these questions--and more--await doug fans clever enough to follow the clues and sniff out the suspects""",jurassic doug -- doggone days -- cartoon caper -- mystery notes -- the haunted trailer,"['detective and mystery stories', 'short stories']","['ghosts', 'ghost stories', 'ghost stories, american']",c,"{'detective and mystery stories': 153, 'short stories': 901}"
friends and foes,"in the first story, angela gets to be in charge of the spring fling decorating committee in the second story, the entire school thinks angela has a secret boyfriend named bob",fair-weather friends -- hot bob and chocolate,"['schools', 'friendship', 'schools', 'friendship']","[""children's stories"", 'love stories', ""children's stories, american""]",c,"{'schools': 59, 'friendship': 45}"
moon shots,"original lunar tales from some of today's finest science fiction writers--including brian aldiss, gene wolfe, brian stableford, and alan dean foster","brian w aldiss / an apollo asteroid -- gene wolfe / has anybody seen junie moon? -- brian stableford / ashes and tombstones -- colin greenland / the way to norwich -- eric brown / steps along the way -- jerry oltion / the moon tree -- scott edelman / the last man on the moon -- james lovegrove / carry the moon in my pocket -- kathleen massie-ferch / moon hunters -- alan dean foster / the little bits that count -- stephen baxter / people came from earth -- robert sheckley / visions of the green moon -- paul j mcauley / how we lost the moon, a true story by frank w allen -- paul di filippo / the man who stole the moon -- michelle west / elegy -- ian mcdonald / breakfast on the moon, with georges","['science fiction, english']","['space archaeology', 'extraterrestrial beings in literature']",c,"{'science fiction, english': 4}"
the dance,"everyone at riverside high is talking about the winter dance for three couples, it will be one magical night that will change their lives forever",mason & erin / by kieran scott -- michael & caroline / by craig hillman -- claude & liza / by elizabeth skurnick,"['romance fiction, american']","['dancers', 'ballet dancers']",c,"{'romance fiction, american': 77}"
"the golden voice; a biography of isaac kalloch,","kalloch was a baptist minister who left boston because of accusations of adultery his defense attorney was richard henry dana, jr again a minister in san francisco, he was involved in many scandals and generated bitter and vitrolic opposition he became mayor of san francisco (1879-1881) in later life he moved to washington state","pioneer pedigree -- preacher boy -- temple -- lady in black -- trial by jury -- aftermath -- hails and farewells -- river of swans -- kaw bottom -- promised land -- his honor, the mayor -- ""full life""","['baptists', 'mayors']","['christian biography', 'church history', 'dissenters, religious']",c,"{'baptists': 20, 'mayors': 9}"
birthdays of freedom,"presents milestones in the history of mankind, describing selected political, military, and cultural events that enabled man to progress","[bk 1] america's heritage from the ancient world--bk 2 from the fall of rome to july 4, 1776","['civilization', 'liberty']","['chronology, historical', 'chronology', 'liberty']",c,"{'civilization': 94, 'liberty': 3}"
silhouette in diamonds : the life of mrs potter palmer,"ross goes beyond the legends of bertha's jewels, clothes, and lavish entertaining to bring to light astonishing facts about the woman herself married to potter palmer, the millionaire real estate operator who built the palmer house and helped to develop chicago in its early days, her drive, ambition and skill sped the restoration of the shattered city after the chicago fire of 1871",a city in flames -- merchant prince -- the innkeeper's wife -- mrs palmer invades europe -- world's columbian exposition -- the nation's hostess -- conquest of newport -- art collector -- the paris exposition -- edwardian england -- chaliapin sings for mrs palmer -- back to nature,"['socialites', 'upper class women', 'upper class']","['women philanthropists', 'women pioneers', 'women archaeologists']",c,"{'socialites': 70, 'upper class women': 4, 'upper class': 176}"
lost civilizations,describes seven early civilizations and how their existence was discovered by archaeologists,ancient egypt -- minoan crete -- mycenae -- sumeria -- ceylon -- maya -- inca,"['history, ancient', 'antiquities, prehistoric', 'archaeology']","['civilization, ancient', 'civilization, oriental', 'archaeological literature']",c,"{'history, ancient': 25, 'antiquities, prehistoric': 8, 'archaeology': 24}"
great canadian lives,"brief biographies of men and women prominent in canadian history from 458-1867, with sections of history interspersed",[v 1] portraits in heroism to 1867,"['heroes', 'women heroes']","['women pioneers', 'women adventurers']",c,"{'heroes': 131, 'women heroes': 3}"
tales of the wolf : the cases of wolf lannihan,13 short stories,manhattan after dark -- the rogue man -- the bloody triangle -- the man who didn't come back -- the woman in the lake -- a string of blues -- the case of the purloined princess -- death of a model -- the girl in the office -- the curse of the upper classes -- the ice gang -- an introduction to murder -- the case of the missing nude,"['lannihan, wolf (fictitious character)']","['lannihan, wolf (fictitious character)', 'short stories, english']",c,"{'lannihan, wolf (fictitious character)': 1}"
great lives from history renaissance to 1900 series,this five volume work examines the lives of 450 individuals whose contributions greatly influenced the world's cultures that flourished from the renaissance through 1900 an annotated bibliography accompanies each entry,1 a-cov -- 2 cra-huy -- 3 ibs-mic -- 4 mir-scha -- 5 sche-z,"['biography', 'world history']","['philosophy, renaissance', 'art, renaissance', 'renaissance']",c,"{'biography': 53, 'world history': 12}"
my american journey,"the former chairman of the joint chiefs of staff recalls his youth, his military service, and his rise to the heights of america's political and military elite","luther and arie's son - a soldier's life for me - courting alma - ""it'll take half a million men to succeed"" - coming home - back to vietnam - white house fellow - ""go, gunfighter, go!"" - the graduate school of war - in the carter defense department - the reaganites - and a close call - the phone never stops ringing - ""frank, you're gonna ruin my career"" - national security advisor to the president - one last command - ""mr chairman, we've got a problem"" - when you've lost your best enemy - a line in the sand - every war must end - change of command - mustering out - a farewell to arms - afterword - colin powell's rules","['generals', 'african american generals']","['civil-military relations', 'african american generals']",c,"{'generals': 4, 'african american generals': 2}"
married at midnight,"celebrate that glorious, magical moment of new beginnings with four uncertain couples joined by a passionate promise--and surprised by unforeseen love here is the sequel to the new york times bestseller three weddings and a kiss",the determined bride / jo beverley -- a kiss after midnight / tanya anne crosby -- scandal's bride / samantha james -- beyond the kiss / kathleen e woodiwiss,['american fiction'],"['weddings', 'romance fiction, american', 'romance fiction, english']",c,{'american fiction': 76}
880-01 [senryōki shuppanbutsu eigo gakushū fukudokuhon],"collection of publications mostly from censorship collection of allied forces for occupation; this group contains supplementary readers by british and american authors, for japanese students",[1] aesop's fables / ōtsuka takanobu kanshū -- [2] aesop's fables / h saito -- [3] the fables of aesop / yamada sōshichi yakuchū -- [4] stories from the bible / h saito -- [5] the autobiography of b franklin -- [6] grimm's fairy tales the poor miller's boy and the cat ; and other stories -- [7] biographical stories / nathaniel hawthorne ; ed by h katayama -- [8] biographical stories / nathaniel hawthorne ; notes by k miyamoto -- [9] david swan ; the snow-image / n hawthorne -- [10] the story of mimi-nashi-hōichi ; mujina ; yuki-onna / lafcadio hearn -- [11] on a piece of chalk / thomas h huxley -- [12] rip van winkle / washington irving -- [13] dream children ; other essays of elia / charles lamb -- [14] sheikusupia monogatari (kigeki hen) / c & m ramu ; yamazaki hideo [kaisetsu] -- [15] utopia / more -- [16] legends and folktales of shinshu / masaharu murai -- [17] romanticism and other essays / walter pater -- [18] the fall of the house of usher / edgar allan poe -- [19] ichiya no yado / rl stibunson ; hōmura seizō [kaisetsu] -- [20] preface to lyrical ballads with advertisement & appendix / william wordsworth,"['english language', 'readers']","['western stories', 'english literature']",c,"{'english language': 307, 'readers': 88}"
flags of the world,"depicts flags of all the countries in the world includes locator maps, fact boxes, descriptions, and a summary of flag sources, colors, and iconography",v 1 afghanistan-bolivia -- v 2 bosnia herzegovina-democratic republic of congo -- v 3 denmark-guyana -- v 4 haiti-latvia -- v 5 lebanon-monaco -- v 6 mongolia-ohio -- v 7 oklahoma-saudi arabia -- v 8 senegal-trinidad & tobago -- v 9 tunisia-zimbabwe,['flags'],"['flags', 'emblems, national', 'emblems, state', 'national characteristics']",c,{'flags': 1}
the grolier library of women's biographies,"presents biographical sketches of 1,700 women from around the world throughout history","v 1 abakanowicz, magdalena - blackwell, alice stone -- v 2 blackwell, antoinette brown - christina -- v 3 christine de pisan - exter, alexandra -- v 4 fairbank, janet ayer - hawn, goldie -- v 5 hayden, melissa - kyo, machiko -- v 6 labille-guiard, adelaide - mckenna, siobhán -- v 7 mckenna, virginia - pfeiffer, michelle -- v 8 philippa of hainault - shearer, moira -- v 9 shearer, norma - tzʹu-hsi -- v 10 ulanova, galina sergeyevna - zoë","['women', 'women']","['women pioneers', 'biographers']",c,{'women': 33}
encyclopedia of world biography,presents brief biographical sketches which provide vital statistics as well as information on the importance of the person listed,v 1 a-barbosa -- v 2 bardeen-briand -- v 3 brice-ch'i pai-shih -- v 4 chippendale-dickinson -- v 5 diderot-forbes -- v 6 ford-grilliparzer -- v 7 grimke-howells -- v 8 hoxha-kierkegaard -- v 9 kilpatrick-louis -- v 10 love-micah -- v 11 michael-orleans -- v 12 orozco-radisson -- v 13 raffles-schelling -- v 14 schiele-stuart -- v 15 studi-visser -- v 16 vitoria-zworykin -- v 17 index -- 18 supplement a-z [1999] -- v 19 supplement a-z [2000] -- v 20 supplement a-z [2000] -- v 21 supplement a-z [2001] -- v 22 supplement a-z [2002] -- v 23 supplement a-z [2004] -- v 24 supplement a-z [2005] -- v 25 supplement a-z [2005] -- v 26 supplement a-z [2006] -- v 27 supplement a-z [2007] -- v 28 supplement a-z [2008] -- v 29 supplement a-z [2009] -- v 31 supplement a-z [2012] -- v 32 supplement a-z [2012] -- v 34 supplement a-z [2014] -- v 35 supplement a-z [2015] -- v 37 supplement a-z [2017],"['biography', 'biography']","['biographers', 'biography']",c,{'biography': 2}
flower girls,a collection of four short love stories that portray flower girls as matchmakers,"striking a match / janet dailey and sonja massie -- to love and to cherish / beverly beaver -- something old, something new / margaret brownley -- something borrowed, something blue / ruth jean dale","['romance fiction', 'short stories']",['love stories'],c,"{'romance fiction': 12, 'short stories': 6}"
mindquakes : stories to shatter your brain,"by turns terrifying, funny, chilling, offbeat, and weird, each of these stories is an unforgettable glimpse into the world that lies always just beyond the edge of reality",yardwork -- caleb's colors -- ralph sherman's jacuzzi of wonders -- number two -- the soul exchange -- damien's shadow -- terrible tannenbaum -- dead letter -- boy on a stoop -- retaining walls -- where they came from,['horror tales'],['curiosities and wonders'],c,{'horror tales': 6}
kidzilla & other tales,stories that will take you into the realm of twisted imagination,"fairy in a jar -- the touch -- at the wrist -- crizzles -- light as a feather, stiff as a board -- the evil tree -- kidzilla -- everyone's a winner -- a little off the top -- the slide -- big kids -- your worst nightmare -- phone ahead -- sand sharks -- on the road -- the language of beasts -- class trip -- collared","['horror tales, american', 'short stories, american', 'horror tales']","[""children's stories"", ""children's stories, american"", 'horror tales, english']",c,"{'horror tales, american': 8, 'short stories, american': 26, 'horror tales': 5}"
the witch's monkey & other tales,stories that will take you into the realm of twisted imagination,the substitute -- the vampire's rat -- slugs -- snakeland -- burger and fries -- game over -- smunkies -- pretty polly -- join the party -- the billion legger -- the battle-ax -- in the land of the lawn weenies -- sunburn -- thin silk -- the witch's monkey -- as you say -- hide,"['horror tales, american', 'short stories, american', 'horror tales']","['horror tales, english', 'horror tales, american', 'horror tales']",c,"{'horror tales, american': 2, 'short stories, american': 27, 'horror tales': 3}"
twin hearts,"""a novelization of four exciting episodes of the hit tv series!""--p 4 of cover","episode #1: prince of santa dora -- episode #2: what, me study? -- episode #3: curse of lawrence mansion -- episode #4: coma",['high schools'],"['radio and television novels', 'mystery fiction', 'horror tales, american']",c,{'high schools': 642}
the life and adventures of santa claus,describes the life of santa claus from birth through old age and into immortality,youth -- manhood -- old age -- afterword,['christmas stories'],"['christmas stories', 'christmas stories, american']",c,{'christmas stories': 1}
