title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
native americans of the northwest coast,"discusses the history, daily lives, culture, religion, and conflicts of the indians that lived in the pacific northwest","introduction a unique culture -- the people and their land -- summer harvest -- life in winter -- religion, ceremonies, and spirits -- the white man arrives -- changing cultures -- conclusion preserving the past",['indians of north america'],"['pacific coast indians, wars with, 1847-1865', 'indians of north america']",e,{'indians of north america': 2}
not just a pretty face : dolls and human figurines in alaska native cultures,"""the exhibition of 'not just a pretty face,' which opened at the university of alaska museum in fairbanks in june 1999, celebrates the many uses of dolls and human figurines from alaska native cultures past and present the exhibition is drawn almost exclusively from the museum's collection of dolls and human miniatures from alaska native cultures it includes several thousand figures from alaska's prehistoric and early historic periods and is one of the largest and most representative public collections of historic and modern alaska native dolls in existence all six ethnic groups in alaska--the inupiaq and yupik eskimos, the aleuts and alutiiqs, as well as the athabascan and northwest coast indians--are represented in the collection, though central yupik and st lawrence island yupik collections of human figures are largest this essay describes the various purposes dolls and human figurines have served in alaska native cultures past and present we have drawn on a wide variety of sources: published, archival, and oral history furnished by the exhibition's advisory team""--p 3",preface -- acknowledgments -- introduction -- intimates and effigies: dolls and human figurines in alaska native cultures / angela j linn and molly lee -- playing for real: scholarly perspectives on alaska native play and ritual / angela j linn -- everything old is new again: interviewing alaska native doll makers / chase hensel -- not just a pretty face: or should we call it something else? / phyllis morrow -- references,"['eskimo dolls', 'inuit dolls', 'indian dolls', 'figurines', 'small sculpture', 'dollmaking']","['inuit dolls', 'eskimo dolls', 'inuit art']",e,"{'eskimo dolls': 2, 'inuit dolls': 1, 'indian dolls': 5, 'figurines': 19, 'small sculpture': 90, 'dollmaking': 10}"
"the cornplanter memorial : an historical sketch of gy-ant-wa-chia -- the cornplanter, and of the six nations of indians","cornplanter was a seneca war chief during the american revolution the legislature of pennsylvania ordered publication of this volume to celebrate his works and legacy it includes cornplanter's biography, sketches of the history of the seneca nation and the haudenosaunee, and cornplanter's speeches","report of sp johnson -- historical sketch / by jr snowden -- speech of john luke, councillor of the seneca nation -- speech of stephen s smith, chief of the six nations -- appendices, containing speeches of cornplanter, and address of washington to cornplanter -- statement of the present condition of the six nations","['seneca indians', 'seneca indians', 'monuments', 'seneca indians']","['seneca indians', 'indians of north america--wars--1866-1895', 'iroquois indians']",e,"{'seneca indians': 1, 'monuments': 318}"
the story of dwight w morrow,"biography of dwight whitney morrow (b 1873), born to james elmore morrow and clara johnson in huntington, west virginia, where his father was president of marshall college dwight went to amherst college in massachusetts, with calvin coolidge as a fellow student and friend dwight eventually married elizabeth reeve cutter, and practiced law in new york city, while his home was in englewood, new jersey he became a partner in jp morgan & company, and served the nation by helping with cuba's finances he also served new jersey by helping reform state prisons in 1928 he was chosen by pres coolidge to be the united states ambassador to mexico mexico was having internal political problems between the national government and the roman catholic church, called the ""cristero revolt"" ambassador morrow was influential in helping mexico settle these religious problems his daughter, anne spencer morrow, met charles a lindbergh while lindbergh was touring latin america, after he had flown the atlantic; eventually they married ambassador morrow returned from mexico in january 1930 to fill an appointment as senator for new jersey for the balance of an unfilled term, and then to seek election in 1932","the morrow pioneers -- james morrow, the father -- clara morrow, the mother -- the amateur ambassador -- growing up -- out of west point, but into amherst -- greek-- and smith college -- high honors -- ""law was his element"" -- marriage, and the budget -- his children's favorite playmate -- member of a great law firm -- partner in jp morgan & company -- international problems -- cuba's finance -- reforming new jersey prisons -- a pattern for the country -- details of the plan -- the war savings committee -- the tangle of allied shipping -- aircraft and national defense -- ""the hardest job in the portfolio""-- ambassador to mexico -- the ideal ambassador of goodwill : initial successes -- lindbergh in mexico -- making up with mexico -- settling mexico's religious problems -- the human morrow -- the cause of understanding -- honored by the governor and the people of new jersey -- prohibition, a problem in government","['diplomats', 'lawyers', 'businessmen', 'politicians', 'legislators', 'new jersey']","['new deal, 1933-1939', 'african american diplomats', 'compromise of 1850']",e,"{'diplomats': 71, 'lawyers': 299, 'businessmen': 380, 'politicians': 253, 'legislators': 129, 'new jersey': 881}"
lincoln,three selections in celebration of the centennial of lincoln's birth,abraham lincoln -- what makes lincoln great? -- the moral advances in lincoln's political career,['lincoln day addresses'],['lincoln day addresses'],e,{'lincoln day addresses': 1}
they took their stand,traces the efforts of eleven courageous whites who devoted their lives to assisting southern negroes in the fight for equality and civil rights,"freedom papers: john laurens--""f"" is for freedom: sophia auld--charleston belle: angelina grimké--railroad man: john fairfield--soldier's choice: george henry thomas--freedom to the free: james hunnicutt--walk together, children: claude williams--common ground: myles horton--a house to live in: anne braden--uphill all the way: dunbar ogden--not so wild a dream: robert zellner",['civil rights workers'],"['african-american abolitionists', 'african american abolitionists']",e,{'civil rights workers': 10}
america's first ladies,brief biographies of thirty-eight first ladies and white house hostesses from martha washington to patricia nixon,v 1 1789-1865--v 2 1865 to present day,"[""presidents' spouses""]","[""presidents' spouses""]",e,"{""presidents' spouses"": 1}"
three who dared,describes the activities of three young men who risked their lives to participate in the freedom marches and civil rights movement of the early 1960's,the henry m aronson story--the john o'neal story--the eric weinberger story,"['african americans', 'civil rights']","['civil rights demonstrations', 'civil rights movements', 'african american radicals']",e,"{'african americans': 377, 'civil rights': 25}"
"susie king taylor, civil war nurse","a biography of the woman who, during the civil war, became the first african american army nurse","prologue: death on the river -- grandma's girl -- the coming of the yankees -- red, white and black -- victory -- leader of the parade -- wartime nightmare -- teen-age nurse--and bride -- camp for heroes -- the battle of fort gregg -- prayer for freedom -- marching through dixie -- freedom teacher","['african american nurses', 'nurses', 'african american women']","['african american soldiers', 'african american nurses']",e,"{'african american nurses': 2, 'nurses': 71, 'african american women': 64}"
minorities in american history,traces in six volumes the history and contributions of minority groups in the united states from the arrival of the first settlers to the present,"v 1 early america, 1492-1812--v 2 slavery to civil war, 1812-1865--v 3 reconstruction and national growth, 1865-1900--v 4 from the progressive era to the great depression, 1900-1929--v 5 years of strife, 1929-1956--v 6 modern america, 1957 to the present",['minorities'],"['minorities', 'african american loyalists', 'african-american abolitionists']",e,{'minorities': 1}
