title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
heritage books archives indiana volume 1 [electronic resource],collection of historical and genealogical resources for the state of indiana,"history of rush county, indiana, from the earliest time to the present / by brant & fuller -- local history and genealogical abstracts from jonesboro and gas city, indiana, newspapers, 1889-1920 / ralph d kirkpatrick -- the pioneers of madison and hancock counties, indiana / samuel harden","['registers of births, etc']","['johnson county war, 1892', 'indiana', 'registers of births, etc', ""pioneers' spouses""]",f,"{'registers of births, etc': 3}"
heritage books archives massachusetts cemetery records volume 1 [computer file],a collection of works on massachusetts cemetery inscriptions,"southern massachusetts cemetery collection / by susan salisbury -- epitaphs in the old burying-ground at deerfield, mass / copied by c alice baker and emma l coleman -- epitaphs from the copp's hill burial ground, boston / by thomas bridgman -- lexington epitaphs : a copy of epitaphs in the old burying-grounds of lexington, massachusetts / by francis h brown -- epitaphs from graveyards in wellesley (formerly west needham), north natick and saint mary's churchyard in newton lower falls, massachusetts : with genealogical and biographical notes / by george kuhn clarke -- gravestone inscriptions and records of tomb burials in the granary burying ground, boston, mass -- epitaphs in old bridgewater, massachusetts / by williams latham -- epitaphs in the old burial place, dedham, mass / by carlos slafter","['cemeteries', 'epitaphs']","['national cemeteries', 'cemeteries']",f,"{'cemeteries': 2, 'epitaphs': 5}"
heritage books archives tennessee volume 2 [computer file],a collection of works on tennessee court records and history,"robertson county, tennessee court minutes, 1796-1807 / by carol wells -- williamson county, tennessee county court minutes, may 1806-april 1812 / carol wells -- williamson county, tennessee county court minutes, july 1812-october 1815 / carol wells -- abstracts of giles county, tennessee : county court minutes, 1813-1816, and circuit court minutes, 1810-1816 / carol wells -- rhea county, tennessee circuit court minutes, september 1815-march 1836 / carol wells -- rhea county, tennessee : tax lists 1832-1834, and county court minutes, volume d, 1829-1834 / carol wells -- dickson county, tennessee, county and circuit court minutes : 1816-1828 and witness docket / abstracted by carol wells -- notable men of tennessee from 1833 to 1875 : their times and their contemporaries / by oliver p temple",['court records'],"['regulator-moderator war, tex, 1839-1844', 'johnson county war, 1892']",f,{'court records': 9}
"heritage books archives winchester, virginia records [electronic resource]","a collection of six books of winchester, virginia's history compiled by dola s tylor","marriage book no 1, 1853-1931 city of winchester, virginia marriage licenses (1993) -- city of winchester, virginia registers of births vol 1: 1853-1860 (1991) -- city of winchester, virginia registers of births vol 2: 1865-1891 (1991) -- winchester, virginia register of deaths, 1871-1891 (1991) -- winchester, virginia will abstracts, 1794-1894 (1990) -- winchester, virginia marriage records, 1783-1931 (2000)","['registers of births, etc', 'wills']","['registers of births, etc', ""plantation owners' spouses""]",f,"{'registers of births, etc': 1, 'wills': 469}"
in the footprints of the padres,"charles warren stoddard (1843-1909) and his family left rochester, new york, for california in 1855 in the 1870s and 1880s, he became a well known writer of travel books, most notably his south-sea idylls he taught at notre dame and the catholic university of america before retiring to california at the end of his life in the footprints of the padres (1902) recalls stoddard's boyhood and family life in san francisco: schools, chinatown, social life, happy valley, and the vigilance committee he also describes a voyage to new york in 1857 with his ailing older brother and offers miscellaneous anecdotes of california missions, monterey, and theresa yelverton",litany of the shrines--old days in el dorado--a memory of monterey--a bit of old china--a mysterious history--the egg-pickers of the farallones--inland yachting--in a californian bungalow,"['ethnic groups', 'women', 'urbanization', 'real estate development', 'law']","['overland journeys to the pacific', 'frontier and pioneer life in literature', 'voyages and travels']",f,"{'ethnic groups': 588, 'women': 1067, 'urbanization': 241, 'real estate development': 622, 'law': 826}"
"glimpses of california and the missions,","helen hunt jackson (1830-1885) of amherst, massachusetts, turned to writing after the death of her first husband in 1863 her marriage to william jackson, a wealthy denver quaker, brought her to the west in 1875, and she soon became a native american rights activist she was sent west as part of a federal commission to investigate conditions among the mission indians in 1882, and her experiences as part of that commission inspired her famous 1884 novel ramona glimpses of california (1902) reprints articles jackson first published in 1883 she offers a narrative history of the california mission system and the early years of los angeles as a hispanic community and the work of junipero serra as well as an analysis of the fate of the mission indians after those missions were dismantled this section of the book is followed by a chapter on southern california's ""outdoor industries"" -- livestock ranching and farming -- and one on jackson's visit to oregon",father junipero and his work--the present condition of the mission indians in southern california--echoes in the city of the angels--outdoor industries in southern california--chance days in oregon,"['missions', 'ethnic groups', 'women', 'agriculture', 'religion and ethics']","['frontier and pioneer life in literature', 'spanish american literature', 'frontier and pioneer life', 'spanish mission buildings']",f,"{'missions': 284, 'ethnic groups': 503, 'women': 768, 'agriculture': 389, 'religion and ethics': 474}"
"the land of little rain,","mary hunter austin (1868-1934) moved with her family from illinois to the desert on the edge of the san joaquin valley in 1888 in the next fifteen years she moved from one desert community to another, working on her sketches of desert and indian life spending the last years of her life in santa fe, austin remained a lifelong defender of native americans and was recoginzed as an expert in native american poetry the land of little rain (1903), austin's first book, focuses on the arid and semi-arid regions of california between the high sierras south of yosemite: the ceriso, death valley, the mojave desert; and towns such as jimville, kearsarge, and las uvas she writes of the region's climate, plants, and animals and of its people: the ute, paiute, mojave, and shoshone tribes; european-american gold prospectors and borax miners; and descendants of hispanic settlers","the land of little rain--water trails of the ceriso--the scavengers--the pocket hunter--shoshone land--jimville, a bret harte town--my neighbor's field--the mesa trail--the basket maker--the streets of the mountains--water borders--other water borders--nurslings of the sky--the little town of the grape vines",['frontier and pioneer life'],"['frontier and pioneer life in literature', 'landscapes in literature', 'spanish american literature']",f,{'frontier and pioneer life': 4}
"scenes of life in california,","friedrich gerstäcker (1816-1872), a native of hamburg, left germany in 1837 for a six-year stay in new york on his return to germany, he published two travel memoirs, and the frankfurt government subsidized his return to america in 1849 to collect information for prospective emigrants to california on his return home, he published several books dealing with his travels scenes of life in california (1942) is the english translation of californische skizzen, published in germany in 1856 here gerstc̃ker describes his westward voyage in 1849, stops at rio de janeiro and buenos aires, crossing the andes to reach valparaiso, and his sea journey to san francisco he next recalls his fourteen months in california, september 1849-november 1850, which saw him prospect for gold and keep store at feather river, murphy's new diggings, and mosquito gulch several of the incidents described at length in these scenes are touched on briefly in his longer work gerstc̃ker's travels (1854), which also describes his stays in san francisco and his voyage from that port to honolulu, australia, and the dutch east indies on his way back to germany",a bull-fight at the mission dolores--justice at stockton--the french revolution--a night in a gambling house--the mexican in the california mines--the hindu,"['ethnic groups', 'urbanization', 'real estate development', 'business']","['frontier and pioneer life in literature', 'overland journeys to the pacific']",f,"{'ethnic groups': 609, 'urbanization': 175, 'real estate development': 591, 'business': 959}"
early mexican ranchos in the san francisco bay region,"after the secularization of the mission lands in 1833, many settlers moved away from the missions and developed ranchos from which the economy of california grew this work names and locates those ranchos in the bay area",san francisco ranchos -- peninsula ranchos -- east shore ranchos,['land grants'],"['spanish mission buildings', 'hispanic american neighborhoods', 'coastal settlements']",f,{'land grants': 51}
pioneers and trailblazers : adventures of the old west,"examines the exploration and settlement of the west through the experiences of settlers, gunfighters, cowboys, indians, trailblazers, and soldiers",indians -- pioneers -- cowboys -- railroaders -- gunfighters -- soldiers -- timetables,['frontier and pioneer life'],['frontier and pioneer life'],f,{'frontier and pioneer life': 1}
