title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
image and representation : stories of muslim lives in india,"contemporary short stories, translated into english from various indic languages","machine generated contents note: introduction -- mushirul hasan, m asaduddin -- mahesh [bangla] -- sarat chandra chatterjee -- the holy judges [hindi] -- premchand -- the temple and the mosque [hindi] -- premchand -- the tale of a muslim woman [bangla] -- rabindranath tagore -- magic strings [malayalam] -- vaikom muhammed basheer -- sacred duty [urdu] -- ismat chughtai -- kafir [urdu] -- ismat chughtai -- stony-hearted [urdu] -- ashfaq ahmad -- asylum [urdu] -- joginder paul -- partition [hindi] -- swayam prakash -- the city of death [hindi] -- amarkant -- 'try to understand me, sir!' [gujarati] -- ramesh r dave -- mumbai [malayalam] -- ns madhavan -- the vettamangalam elephant [tamil] -- thoppil mohamed meeran -- consecrated brick [urdu -- husainul haq -- the pendulum [bangla] -- jayanta de -- metamorphosis [gujarati] -- mohan parmar -- the infidel parrot [hindi] -- punni singh: -- guest is god [hindi] -- abdul bismitah -- a home for the peeroos [telugu] -- kethuviswanatha reddy -- dervish [urdu] -- qurratulain hyder -- kabadi [malayalam] -- in search of ismail sheikh [assamese] -- homen borgohain -- father and son [tamil] -- ashokamitran -- nombu [kannada] -- fakir muhammed katpadi -- a!efa [bangla] -- haukat osman -- deliverance [telugu] -- nelluri kesavaswamy -- love across the salt desert [english] -- k n daruwalla -- the library girl [english] -- vishwapriya l iyengar -- photographs [english] -- shama futehally -- does anyone have the strength? [kashmiri] -- akhtar mohiuddin -- where has my gulla gone? [hindi] -- padma sachdev -- dawat [telugu] -- mohammed khadeer babu -- haram [telugu] -- khaja -- about the translators -- glossary","['short stories, indic', 'indic fiction']","['short stories, indic', 'short stories, hindi']",m,"{'short stories, indic': 1, 'indic fiction': 3}"
creeds of our times,collection of lectures by some of the best indian minds dealing with comparative religious ethics and faith of different creeds in a contemporary context,"moksha as human freedom / chaturvedi badrinath -- the challenge before indian muslims in the next millennium / rafiq zakaria -- there is no religion higher than truth / radha burnier -- globalization, islam, and threat to diversity / asghar ali engineer -- new dimensions in the classical dance forms of india / mrinalini sarabhai -- eco-dharma and universal responsibility / henryk skolimowski -- gandhi's creed and the new millennium / ravindra varma -- relevance of sri ramakrishna in the next millennium / swami gokulanand -- zoroastrianism : the faith of the parsis in india / fali s nariman -- religion as an important instrument for peace / alan de lastic -- relevance of judaism for the next millennium : an overview / ezekiel isaac malekar -- science and religion : approach towards a synthesis / jayant narlikar","['religious ethics', 'faith']","['hinduism', 'hindu philosophers', 'judaism']",m,"{'religious ethics': 5, 'faith': 52}"
new director's handbook : practical answers for beginning teachers,articles from the instrumentalist for first year music educators,"college was never like this : the diary of a first-year teacher / ann crawford -- college was never like this : diaries of first-year teachers, part 2 / jessica paff ; randy sundell -- older and wiser : veteran teachers share lessons learned on the job / compiled by catherine sell -- learn from others and focus on fundamentals / james knight -- spontaneity beats boredom / thomas evans -- motivation / shirley strohm mullins -- middle school is where i belong : an interview with nancy plantinga / john thomson, catherine lenzini -- good balance begins in the fifth grade : an interview with steven taylor / stuart j ling -- (cont) conveying messages that inspire action / shirley strohm mullins -- the sound comes before concern for the notes : an interview with howie smith / stuart j ling -- many method books for beginning bands : an overview of six publications / mark ely, amy stowers -- selected elementary band literature / daniel kohut, karen mohr-sheahan -- recommended band literature / selected by harry begian [et al] -- fundraising for fun and very large profits / james m rohner","['school music', 'first year teachers']","['music teachers', 'guitar teachers']",m,"{'school music': 4, 'first year teachers': 3}"
contemporary class piano,""" an introduction to the keyboard designed for college students who are enrolled in a class piano course, whether or not they are music majors and whether or not they have any prior keyboard experience""--preface",keyboard basics -- five-finger pattern -- pieces with easy accompaniments -- tonality and atonality -- letter-name chord symbols -- twenty-five piano classics,['piano'],"['piano music', 'keyboards (music)']",m,{'piano': 4}
"the archives of the trades union congress series ii, pamphlets and leaflets [microform]","""the trades union congress (tuc) is the major british federation of labor unions, serving as a central coordinating agency for british unions since 1868, and acting as a major link between the unions and government, during this century among the items filmed from the tuc archives for this collection are its quarterly reports up to 1918, open letters, addresses, and records of debates in parliament, as well as pamphlets and reports on organizing, on working conditions, and on labor's role in government, in foreign affairs, in worker education, and in defense policy and disarmament arranged chronologically, many of the pamphlets are personally authored by sir walter m citrine, leader for many years of the tuc""--the library of congress guide to the microform collections in the humanities and social sciences division, online version",pt 1 1887-1930 -- pt 2 1931-1947 -- pt 3 1948-1966,['labor unions'],"['labor unions', 'industrial sociology', 'working class']",m,{'labor unions': 1}
microfilm collection of manuscripts on cultural anthropology [microform],"a collection from the university of chicago, originally covering meso-american cultures and american indians, but later expanded to include cultural anthropology in general most of the collection consists of entholinguistic materials: grammar notes, vocabularies, dictionaries, phonology, linguistic atlases, texts, translations, field data, and also materials on ethnography","microfilm collection of manuscripts on middle american cultural anthropology, [series 1-7], no 1-51 -- microfilm collection of manuscripts on american indian cultural anthropology, series 8-14, no 52-92 -- microfilm collection of manuscripts on cultural anthropology, series 15- , no 95-","['indians of central america', 'indians of mexico', 'ethnology', 'ethnology']","['ethnomusicology', 'applied ethnomusicology', 'indians of north america']",m,"{'indians of central america': 5, 'indians of mexico': 7, 'ethnology': 6}"
international population census publications [microform],"based on the international population census bibliography and its supplement, by the population research center at the university of texas the collection is arranged into five geographic areas: asia (including the middle east); europe; latin america (including mexico); north america; and oceania","ser 1 1945-1967 -- ser 2 pre-1945 -- ser 3 post-1967 -- unit 0 (items 18811 -19204-19205-19346, 2 reels) - unit 015 (item: 19851-6-19852-4, reel 3 of 3) unit 025 (items : 1992 1- 19951, 1 reel )","['census', 'population']","['census', 'demography']",m,"{'census': 1, 'population': 3}"
jazz : america's own music,"defines jazz music and examines its sources, various forms and styles, and noted performers",[v 1] teachers manual -- [v 2] student text,['jazz'],"['jazz musicians', 'americana (music)', 'music and history']",m,{'jazz': 13}
childhood stories from thailand,for children,"days of yore / stories by tipawanee sanitwong ; english translation by chamnongsri rutnin ; illustrations by pathom poiwilai -- kaew, the irrepresible / stories by waen kaew ; english translation by charatsri vajarabhaya, savitri suwansathit ; illustrations by trasvin jittidecharaks",['children'],"[""children's stories, english"", ""children's stories""]",m,{'children': 41}
manage your life,"although [this text] can be used in a variety of courses in psychology, sociology, health, and education, its principal home would likely be in courses devoted to personal adjustment and development the text provides coverage of most major areas of adult development (physical, interpersonal, professional, and psychological), but examines these areas from a personal management perspective the text includes the necessary philosophical and technical background that the reader needs in order to analyze and modify behaviors that affect personal growth the primary thrust of the text is toward psychological wellness and, more specifically, toward cultivating those personal perceptions and behaviors that serve more a preventive than a remedial function--to the instructor","life planning: stormy weather, developing a plan for living; the prime wisdom, managing daily time and activities; personal creation, a model for self-change -- physical health management: the food connection, managing nutrition; the fullness of life, exercising for fitness; agony or ecstasy, alcohol and drug use; a journey to naif, how to stop smoking -- social fulfillment: touching others, interpersonal communications; as lovely as a tree, long-term intimacy -- professional satisfaction: fulfilling a dream, developing academic skills; entering the world of work, selecting and acquiring a job; i love my job but, managing your personal work -- psychological health: the ropes course, managing stress; whatsoever things are good, affirmative living",['conduct of life'],"['self-care, health', 'life skills']",m,{'conduct of life': 9}
