title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
space age gladiators : surface to surface missiles and air strategy : an indian viewpoint,in the context of developing countries,"machine generated contents note: list of figures, charts and tables vi -- preface and acknowledgements vii -- introduction ix -- abbreviations and acronyms xiii -- part i the big pieture -- 1 missiles and the international environment 3 -- 2 missile proliferation and air strategy 18 -- 3 missiles and international law 36 -- part ii the actors -- 4 india: lazy lion 53 -- 5 china: disingenuous dragon 67 -- 6 pakistan: pernicious pretender 84 -- 7 the middle ring 110 -- 8 the outer ring 131 -- part iii future horizons -- 9 of missiles and men 155 -- 10 the way ahead 185 -- database 201 -- index 221","['guided missiles', 'air power', 'air power']","['space warfare', 'ballistic missiles', 'ballistic missile defenses']",u,"{'guided missiles': 27, 'air power': 535}"
"camping on trail : or, some of my experiences in the indian country, containing numerous notes on the art of travel","""the object of this volume is to narrate some of my experience in the indian country, and to investigate that chain of many minor successes, each of which must be perfect, in order to insure the success of any expedition a long and dangerous journey, without the loss of property, comfort, health, or life, can only be accomplished after having learned how to prepare for all emergencies, how to avoid unnecessary hardships, and how to find out the capabilities of the country and of the party i make no claim to discoveries in mountain-craft i have endeavored to present in small compass such knowledge as the young officer or traveler often acquires by bitter experience and under the most unfavorable circumstances this volume is not intended for officers who have seen extensive service on the frontiers, many of whom are my competent teachers, but for the novice, who is so placed that he must depend upon himself in times of emergency""--preface","introductory -- the horse -- the rifle -- medical and surgical hints -- useful information -- equipage and supplies -- mountain travel -- pack mules and packing -- marching -- forced marches -- crossing rivers -- the camp -- the mess -- living off the country -- indian character -- the trail, signs, and signals -- chenook jargon","['scouting (reconnaissance)', 'indians of north america', 'mountain warfare', 'chinook jargon', 'packhorse camping', 'trail riding', 'pack animals (transportation)', 'wilderness survival', 'indians of north america', 'frontier and pioneer life']","['wilderness survival', 'packhorse camping', 'frontier and pioneer life']",u,"{'scouting (reconnaissance)': 5, 'indians of north america': 6, 'mountain warfare': 11, 'chinook jargon': 10, 'packhorse camping': 2, 'trail riding': 8, 'pack animals (transportation)': 7, 'wilderness survival': 1, 'frontier and pioneer life': 3}"
"the master spy,",the lives and careers of twelve spies from the nineteenth and twentieth century whose successes affected the history of many nations,"dr stieber; spymaster with 40,000 agents--captain nathan hale; america's first spy--widow rose greenhow; spy belle of washington--mary louvestre; the slave who spied for freedom--lieutenant karl lody; the agent who died in vain--mata hari; she danced her way to a firing squad--william sebold; counterspy for the us--michel hollard; the spy who saved london--rudolf abel; russia's master spy--stig wennerstrom; sweden's traitor spy--cicero; the spy nobody believed--dr richard sorge; the romantic double agent",['spies'],"['espionage, american', 'espionage, east german', 'espionage, british', 'spies']",u,{'spies': 4}
ancient greek war and weapons,"presents an overview of war in ancient greece, including noteworthy wars, weaponry, types of fighting, and the importance of warfare in ancient greek society",machine generated contents note: the world of the ancient greeks -- war in the greek world -- the greatest war of all -- who were the greek warriors? -- the persian wars -- the peloponnesian wars -- magnificent macedonians -- the citizen-soldier -- fighting in formation -- spartan soldiers -- mounted warriors -- lightly-armed troops -- preparing for battle -- battle stations -- tilting the balance in battle -- fighting ships -- naval warfare -- the cost of war -- limiting the damage -- how do we know? vergina -- timeline,"['military art and science', 'naval art and science', 'military history, ancient', 'naval history, ancient']","['military history, ancient', 'weapons, ancient']",u,"{'military art and science': 13, 'naval art and science': 120, 'military history, ancient': 1, 'naval history, ancient': 3}"
the mind of war-injured freedom fighters of bangladesh : a scientific study,study of the psychiatric morbidity among war-injured freedom fighters of bangladesh and to highlight the post-traumatic stress disorder prevailing among them,"machine generated contents note: 1 introduction -- general consideration -- background inf6rmation -- justification of the study -- hypothesis -- 2 aim & objectives -- 3 literature review -- bangladesh liberation war 1971 -- important historical events -- nature of some cruel events perpetrated -- by pakistani troops -- bangladesh liberation war 1971 : at a glance -- brief about bangladesh -- types, magnitude & trends of violence -- in bangladesh -- bangladesh muktijoddha kallyan trust & -- war-injured freedom fighters (wiff) -- findings of epidemiolocal studies -- general consideration -- prevalence ofptsd due to specific -- traumatic events -- prevalence of ptsd : among war veterans -- prevalence'of other psychiatric disorders -- prevalence of ptsd: at a glance -- (summary of the review) -- ptsd & co-morbidity -- 'aetiology of ptsd -- course of ptsd -- ptsd & treatment seeking behaviour -- collection of information -- 4 materials & methods -- research approach -- study design -- place of study -- justification of selection of study place -- duration of the study -- study population -- sample technique -- sample size -- calculation of sample size -- research instrument -- inclusion/ exclusioncriteria -- selection & training of the interviewer -- piloting -- procedure of data collection -- flow chart -- data management -- data analysis -- variables -- operational definitions of the variables -- definitions of some important terms used in -- this study -- 5 observation & results -- 6 discussion -- 7 summary & conclusion -- summary -- conclusion -- 8 bibliography -- 9 appendix -- appendix-i consent form -- appendix-ii sociodemographic & war related -- data sheet -- appendix-iil questionnaire on mental state & -- physical examination -- appendix-iv dsm-iii-r criteria for scid -- ( structured clinical interview for -- dsm iii r) -- appendix-v photo session- wiff/niff -- appendix-vi pictures of some cruel events -- perpetrated by the pakistani -- troops -- xix -- important abbreviations frequently used in this study -- bsmmu = bangabandhu sheikh mujib medical -- university -- dsm-iiir = diagnostic & statistical manual iir -- eca = epidemiological catchment area -- ff = freedom fighters -- mse = mental state examination -- ncs = national co-morbidity survey -- niff = non-injured freedom fighters -- nvvrs = national vietnam veterans readjustment -- survey -- pows = -prisoner of war -- ptsd = posttraumatic stress disorder -- scid = structured clinical interview for diagnosis' -- wiff = war-injured freedom fighters (wounded -- freedom fighters due to war related trauma -- during liberation war)","['psychology, military', 'soldiers']","['post-traumatic stress disorder', 'military psychiatry', 'war neuroses', 'war and society']",u,"{'psychology, military': 7, 'soldiers': 39}"
national security of bangladesh in the twenty first century,contributed articles presented at a national seminar held on 29-30 nov 1998 organized by biiss in dhaka,"machine generated contents note: 1 introduction -- mohammad humayun kabir1 -- 2 theme paper on security of bangladesh in the -- twenty-first century -- muhammad shahedul anam khan12 -- 3 conventional security threats to bangladesh in -- the 21st century : the role of the armed -- forces -- ishfaq ilahi choudhury22 -- 4 defence-development dilemma: the bangladesh -- context -- abdur rob khan and munim kumar barai 38 -- 5 strategic and tactical lessons of the war of -- liberation in the context of the national -- security of bangladesh in the 21s' century -- syed muhammad ibrahim60 -- 6 agricultural trade liberalization under the -- uruguay round and beyond: the perspectives -- of the developing countries with special -- reference to bangladesh -- caf dowlah68 -- 7 wto and bangladesh's external trade: -- a scenario of opportunities, perils and pitfalls -- muinul islam107 -- 8 energy security of bangladesh: issues, -- perspectives and prospects -- m asaduzzaman128 -- 9 political instability in bangladesh: security -- implications -- syed anwar husain145 -- 10 proliferation of small arms and violence in -- bangladesh: societal insecurity -- n eila h usain 163 -- 11 poverty and marginalization in bangladesh: -- potentials for instability -- m m akash181 -- 12 towards a framework of sustainable resource -- management: the case of the chittagong hill -- tracts in bangladesh -- mizan r khan196 -- 13 natural disasters and national security -- a m choudhury230 -- 14 arsenic crisis, security concerns, the state and -- the people -- afsan chowdhury247 -- 15 national security of bangladesh: thoughts on -- security strategies -- mohammad humayun kabir259",['national security'],"['state-sponsored terrorism', 'confidence and security building measures (international relations)', 'counterinsurgency']",u,{'national security': 5}
security in the new millennium : views from south asia,contributed articles,"towards a citizen-state : a view from bangladesh / amena mohsin -- expanded domain of security in the new millennium : a view from nepal / lok raj baral -- ensuring whose security? the new millennium and nuclear weapons of india and pakistan / haider k nizamani -- security's insecurity : south asia's state, societies, and citizens in the age of globalisation / jayadeva uyangoda -- human security, the state, and democracy in a globalising world / rajesh m basrur -- south asian security in the new millennium / moonis ahmar",['national security'],"['confidence and security building measures (international relations)', 'security, international']",u,{'national security': 5}
security and governance in south asia,contributed articles,"security and governance in south asia their linkages / pr chari -- governance and security: the experience of bangladesh / amena mohsin -- trenches, boundaries, spaces: the dialectics of governance and security in india / meenakshi gopinath -- governance and security in plural societies: the case of nepal / lok raj baral -- ensuring devolution of power enhances human security: some key issues and an indicative model / shahrukh rafi khan -- governance in plural societies: sri lanka / paikiasothy saravanamuttu -- the crisis of security and governance in south asia / pr chari",['national security'],"['confidence and security building measures (international relations)', 'security, international', 'security sector', 'political stability']",u,{'national security': 10}
ancient egypt,discusses the weapons used by the ancient egyptians and their different means of warfare,"fighting to keep the dark forces at bay -- early egyptian weapons and warfare -- the new kingdom and chariot warfare -- military service and organization -- borders, fortifications, and sieges -- egypt's military zenith: the battle of kadesh -- warships and the defeat of the sea peoples -- decline of the egyptian military","['military art and science', 'military weapons', 'military history, ancient']","['military history, ancient', 'weapons, ancient', 'military history']",u,"{'military art and science': 7, 'military weapons': 10, 'military history, ancient': 1}"
ancient rome,discusses the weapons used by the ancient romans and their different means of warfare,the early roman army -- the development of manipular tactics -- the professional imperial military forces -- fortifications and siege warfare -- naval weapons and tactics,"['military art and science', 'military weapons']","['military history, ancient', 'weapons, ancient']",u,"{'military art and science': 8, 'military weapons': 10}"
inside israel's mossad : the institute for intelligence and special tasks,"describes the history and current goals of israel's intelligence service, the mossad","meet the mossad -- new nation, new problems -- an uncertain future -- mossad departments and goals -- who's who -- types of intelligence -- beginnings of the mossad -- building spy networks and watching them fall -- little isser makes his mark -- aliyah -- kidnapping a nazi -- politics and propaganda -- the suez crisis -- operation damocles and the end of little isser -- a new chief takes charge -- the ""mig"" 21 -- the new face of terrorism -- spring of youth -- the mossad today and tomorrow -- after 9/11","['intelligence service', 'espionage, israeli']","['espionage, israeli', 'military intelligence', 'intelligence service']",u,"{'intelligence service': 3, 'espionage, israeli': 1}"
the c-130 hercules,"discusses the history of the c-130 hercules transport plane and its use in military campaigns as well as civilian missions, such as studying weather, controlling fires, and supporting researchers in antarctica","the birth of hercules -- a tour of the herc, inside and out -- the mighty herc in action -- the herc's nonmilitary missions",['hercules (turboprop transports)'],"['hercules (turboprop transports)', 'aerial reconnaissance, american']",u,{'hercules (turboprop transports)': 1}
