title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
catalogue of the library of the state historical society of wisconsin,"includes titles on all subjects, some in foreign languages, later incorporated into memorial library","v 1-2 catalogue - v 2, appendix the tank library, now in the dept of special collections - v 3-7 first [to fifth] supplements [additions from 1873-1887]",['american literature'],"['local history', 'local history materials', 'genealogical libraries']",z,{'american literature': 15}
my first seventy-five years,"""mr theodore regensteiner was responsible for putting pictorial printing on a workable basis he was the first to sell the use of color pictures to magazine publishers he was the first to introduce the new ""rotogravure"" sections to the newspapers mr regensteiner is to the graphic arts industry what the wright brothers were to the airplane industry""--page 269",preface / by the honorable a e giegengack -- i introduce myself at 75 -- where and when i started -- i leave europe -- starting in chicago -- i meet carl laemmle -- back in chicago -- introduced to photo-engraving -- amusements in the eighties -- i help build skyscrapers -- columbian engraving company -- describes new business -- we introduce colortype printing -- we invade new york -- introduces four color process -- american colortype company -- i start anew -- creative salesmanship -- enters offset field in 1912 -- starts rotogravure department -- another expansion -- we introduce deep-etch plates -- how esquire started -- schemes i have encountered -- my interest in trade associations -- a century of progress -- the governor's commission -- my experience with delegations -- the scriptorum -- my big hobby - traveling part 2 fifty years of colortype printing -- opens floodgates of color -- broadens use of color -- tribune's color scoop -- how color pulls -- colortype helped offset -- comments from leaders -- how others experimented -- honored on 75th birthday,"['printers', 'color printing', 'german americans']","['calligraphers', 'illustrated periodicals', 'printing presses']",z,"{'printers': 63, 'color printing': 13, 'german americans': 212}"
union catalogue of east asian materials in scandanavian libraries [microform],reproduces the catalogue cards of materials written in chinese and japanese in 23 scandinavian libraries,no 1-25 preliminary japanese title catalogue -- no 1-72 preliminary chinese title catalogue,"['chinese imprints', 'japanese imprints', 'union catalogs']","['chinese periodicals', 'manuscripts, european', 'manuscripts, hindi', 'japanese imprints']",z,"{'chinese imprints': 13, 'japanese imprints': 4, 'union catalogs': 166}"
gregg typing : series eight : keyboarding and processing documents,"a textbook for a two-semester general course in typewriting for the secondary school includes formatting of correspondence, reports, tables, and other forms",1 general course -- 2 advanced course,['typewriting'],"['typewriting', 'graphic design (typography)', 'word processing']",z,{'typewriting': 1}
"[articles on cryptography, ciphers, and the shakespeare-bacon controversy in the george fabyan collection of the library of congress]","articles excised from serials; also includes pamphlets, 2 photocopies, and 19 individual issues of serials","[the numbers in parentheses are fabyan collection item numbers] how hieroglyphics have been desiphered / em aaron (1) -- abbreviated words (2) -- analytical digest, mar 27 (6) -- lincoln in the telegraph office / dh bates (145) -- a rebel cipher dispatch / dh bates (146) -- shake-speare / sm baylis -- cryptographie / bazeries (152) -- les chiffres de napoleon / bazeries (154) -- signs, symbols, and signals / d beard (155) -- cryptographic machine / ra brooman -- shakespeare dethroned / rm bucke -- some elizabethan cipher books / aj butler (204) -- the evolution of the dollarmark / f cajori (206) -- cryptographie / cartier (209) -- le chiffre de bacon / cartier (210) <fol> -- le mystère bacon-shakespeare / cartier (211) -- un problème d'histoire et de cryptographie / cartier (212) -- the secret language of childhood / o chrisman (223) -- the bacon ""farce"" / eg clark -- [the numbers in parentheses are fabyan collection item numbers] a simple postal-card cipher / x clark (227) -- the jesse tree / c coleman (232) -- a mark of honor / c coleman (231) -- the code-word / wh conklin (238) -- autograph letters / jh craig -- curiosity of literature (252) -- les écritures chiffrées / mg dallet -- cryptographie / j daujat (249) -- sewall's mnemonic lines / am davis (256) -- finger-prints / ea davis (300) -- the faerie-queene, folio 1609 -- ciphers / tja freeman (321) -- the hindu cipher / wf friedman <fol> (728) -- history of the use of codes / wf friedman (728) -- the bi-lateral cypher / ew gallup (326) -- bacon's lost words and decisions / wa gardner (330) -- julius caesar's stenographer (340) -- cryptography in politics / jrg hassard (346) -- secret writing / jh haswell (347) -- [book catalog] no 100 / wm hill (360) -- masonic poets / j howell <fol> (696) -- instructions for the employment of wheatstone's cryptograph (377) -- [the numbers in parentheses are fabyan collection item numbers] saying it in cipher / ca jensen <fol> (386) -- the beginning of abc / a lang (407) -- de la cryptographie / a langie (409) -- symbolism of numbers / ma lloyd (423) -- last words on mrs gallup's alleged cipher / wh mallock (435) -- a new light on the bacon-shakespeare cypher / wh mallock (436) -- the most mysterious manuscript / jm manly (437) -- [medical articles, 9] -- [metric system, 3 items] -- military engineer, sept 1922 and mar 1923 <fol> -- pictured poesies / e moore (459) -- the jerry who spoiled the war / we moore (460) -- code and cipher in france / f moorman -- the foremost intellectual achievement / sg morley (465) -- the dot and dash alphabet (468) -- substitute for shorthand / rh moulton (469) -- mystical numbers (471) -- mystical or representative numbers (472) -- the most ancient symbol / fh norton (480) -- short-hand reporting / gc ohren (482) -- the sacred symbols and numbers of america / f parry (493) -- pearson's magazine oct 1923 (494) -- la cryptographie / lg pélissier (213) -- bacon against shakespeare / fe pierce (501) -- the problem of middle ear mechanics / ag pohlman -- [the numbers in parentheses are fabyan collection item numbers] a private inquiry (524) -- neophonography / j richardson (533) -- the $ mark / wtr saffel (551) -- secrets in cipher / jh schooling (557) -- the nimbus and aureole / e schreiber (562) -- secrets exposed (567) -- secrets in ciphers (568) -- the new shakespeare-bacon controversy / gp serviss (570) -- early christian symbolism / r seton (569) -- shakespeare jeopardized by the courts <fol> (643) -- phonography / t sharpless (644) -- short-hand writing (650) -- cryptography / jh snively (667) -- solution of cipher messages -- [a letter] / haw speckman (5) -- criminal slang / jm sullivan (680) -- thieves' jargon (690) -- the hindu-arabic numerals / er turner (714) -- united states copyright law (716) -- phonography and phonotypy / dd whedon (751) -- the sacred numbers / dd whedon (752) -- cryptography / g wilkes -- an african system of writing / mn work (774) -- tommy's alphabet / mv worstell (775) -- indian shorthand writers of british columbia / le zeh (778) -- symbols / h zimmern (779)","['cryptography', 'ciphers']","['ciphers', 'cryptography', 'manuscripts, english (old)']",z,"{'cryptography': 2, 'ciphers': 1}"
hastalikhita hindī granthoṃ kī khoja kā vivaraṇa,with special reference to india,"v 1 vārshika vivaraṇa san 1900, 1901, aura 1902 -- v 2 vārshika vivaraṇa san 1903, 1904, aura 1905 -- v 3 san 1906, 1907, aura 1908 -- v 4 san 1909, 1910, aura 1911 -- v 5 san 1912, 1913, aura 1914 -- v 6 san 1917, 1918, aura 1919","['manuscripts, hindi']","['manuscripts, hindi', 'manuscripts, tamil']",z,"{'manuscripts, hindi': 1}"
scientific and economic contribution of bangladesh council of scientific & industrial research,chiefly bibliographical catalog,"pt 1 scientific achievements of bcsir laboratories, dhaka -- pt 2 scientific achievements of institute of food science and technology / assisted by ahmed mahbub ghani and m ainul kabir -- pt 3 industrial processes developed in institute of food science & technology / compiled and edited by m kabirullah and rukonuddin ahmed ; assisted by m ainul kabir","['science', 'technology', 'research', 'research, industrial']","['research, industrial', 'book industries and trade', 'bengali drama']",z,"{'science': 55, 'technology': 166, 'research': 39, 'research, industrial': 1}"
library and information science : parameters and perspectives : essays in honour of prof pb mangla,contributed articles,"v 1 library and information science : basics -- v 2 information science, information technology and its application","['library science', 'library science', 'information science', 'information science']","['integrated library systems (computer systems)', 'library science']",z,"{'library science': 2, 'information science': 26}"
nineteenth century short title catalogue [computer file] : nstc,"a union catalog of all books in english in eight british and us libraries (british library, bodleian library, cambridge university library, national library of scotland, trinity college (dublin), newcastle university library, harvard university library, and the library of congress) indexed by author, title, subject, series, publisher, place of publication, country, date, language, location, classification and reference number",-- ser iii 1871-1919,"['english imprints', 'union catalogs', 'union catalogs', 'english imprints']","['early printed books', 'antiquarian booksellers']",z,"{'english imprints': 118, 'union catalogs': 251}"
"information systems, networks, and services in india",contributed papers,v 1 developments and trends -- v 2 developments and trends,"['libraries', 'library information networks', 'information services']","['information services', 'online information services']",z,"{'libraries': 208, 'library information networks': 39, 'information services': 1}"
